Up to date
A,D,B0,B1,B2,Root,Y
71537149210848788999/25000000000000000000,11762117180297851434912586991527/50000000000000000000,7088497065579004022002570926313/100000000000000000000,465427174136545199389794416577/2000000000000000000,2217345056044566405846622143893/25000000000000000000,39514331408569626382418685613/50000000000000000000,-4200477767037/50000000000000000000
144182763748868030407/100000000000000000000,6981412528602754116028575953533/20000000000000000000,1560556010390067191057152033699/20000000000000000000,25606156223377889723829392700179/100000000000000000000,3396791781265570082884337476169/25000000000000000000,69118741352109394976695591891/10000000000000000000,-55504428083/312500000000000000
367870535972564663887/100000000000000000000,4064309289385178745991429630803/25000000000000000000,3640427434366100448173889635821/100000000000000000000,3545975673012270161988511420363/50000000000000000000,9005978479218844444972649963403/100000000000000000000,636426160193789406271170406501/100000000000000000000,-3083643944673/100000000000000000000
264177194996923957429/100000000000000000000,15575189180137892730614929848779/100000000000000000000,8800138830539648394215443691371/100000000000000000000,10898237579420233918152650809539/100000000000000000000,1989470851346734167002445506933/100000000000000000000,1473650482189985189010175781721/50000000000000000000,-6864990661/1000000000000000000
1552469057394946113/1250000000000000000,17772613224999293849158449058341/100000000000000000000,4748215925132384736934864487053/20000000000000000000,5826111862451848978342481168457/50000000000000000000,964357386767604515440150362931/6250000000000000000,61902579412942740576535924151/100000000000000000000,-12357064585649/50000000000000000000
47941119709364611117/50000000000000000000,1436053318076064678088312212737/20000000000000000000,18150563982015750502552487816733/100000000000000000000,321801176556625623531299958343/2000000000000000000,1571632483114013081918860315381/100000000000000000000,2791847824055239085866256137/20000000000000000000,-4135509639847/100000000000000000000
276184083414704540097/100000000000000000000,29811543704320001941498214713177/100000000000000000000,2613767558077701467124352170643/50000000000000000000,1910908610745891240741266905481/20000000000000000000,1661779665939265654226594403847/25000000000000000000,-452113253888789035668710432783/100000000000000000000,-15482032084841/100000000000000000000
6111494851140244223/25000000000000000000,231769801758988526323354419121/4000000000000000000,3061267190625973618631546262917/25000000000000000000,1212091907599270601266276959821/10000000000000000000,634628876723591896530995536361/100000000000000000000,103521305795573788289229504047/100000000000000000000,-151336242711/100000000000000000000
8226736977985208309/25000000000000000000,31826702189946309602950002434169/100000000000000000000,3254666732553792857315516509573/100000000000000000000,18481543324177935591792757462353/100000000000000000000,5141478223341223929007423233459/100000000000000000000,1175831295814892252358995835527/12500000000000000000,-694830119251/20000000000000000000
34975959221376547227/20000000000000000000,23852517539945427012148170226483/100000000000000000000,326294564671191517002605810063/12500000000000000000,1477806675301515316775330552509/100000000000000000000,16385460007453596097545465269943/100000000000000000000,-187639527026049348312512768137/12500000000000000000,-18371093977/20000000000000000000
6859653588006808247/12500000000000000000,1176795225274701384450496622671/20000000000000000000,2957389544773892788107407897043/25000000000000000000,4236632333197804324078741566967/20000000000000000000,5197700458276558441351848656237/50000000000000000000,130364947093382314093679179/25000000000000000000,-4238463524819/10000000000000000000
26989160995747063173/25000000000000000000,16853205011317080957418717386287/100000000000000000000,22585842114402486121525249179019/100000000000000000000,9657301450103306351466963119901/100000000000000000000,1787134357444392629869276802793/12500000000000000000,9549005163984883228769744259/10000000000000000000,-17492061070613/100000000000000000000
66116211211013382713/100000000000000000000,3613381851825545357011686119321/50000000000000000000,191420480799771159614086922619/1000000000000000000,1179795008229107418656205507287/50000000000000000000,7383941651850368310749172699647/50000000000000000000,15734459945246780796046594083/100000000000000000000,-1884862431663/100000000000000000000
249878171230785236649/100000000000000000000,9741437569799224629724544668289/50000000000000000000,2735311175452180410722539302501/50000000000000000000,4030510161268711552056548241441/50000000000000000000,403729722988681970188115851461/10000000000000000000,7423186611827221996311661479917/100000000000000000000,-6724531877/6250000000000000000
236550092183168732857/50000000000000000000,15892541274795836992178911188991/50000000000000000000,594587646999829399046971863009/4000000000000000000,5266158769945530169350944905623/50000000000000000000,1613544365500810452056759385999/100000000000000000000,10125171521228959921583099892583/50000000000000000000,-13335535756683/100000000000000000000
