Up to date
A,D,B0,B1,B2,Root,Y
11766706252948510103/50000000000000000000,35481349654187580609077575538329/100000000000000000000,3900646199374156382115208884761/100000000000000000000,275031153252616640390019191739/100000000000000000000,16915474436740049030648111697127/100000000000000000000,-325335750434680861691176041807/4000000000000000000,-686750825899/50000000000000000000
146935430809272063729/50000000000000000000,22393390317745939382590269951351/100000000000000000000,77034321286477907915411995149/10000000000000000000,4613187799928166460556173938101/25000000000000000000,736023879078248724872413110101/20000000000000000000,19756453505622779675104593590723/100000000000000000000,-1964282780189/100000000000000000000
61552276542267086733/20000000000000000000,974705879239559625267253618061/25000000000000000000,468026466042526744146854275939/20000000000000000000,5726653995101627102540510264283/100000000000000000000,3223495197542624361914767039017/20000000000000000000,93475358772090288720410073/50000000000000000000,-51865099055403/100000000000000000000
132188479900141554391/100000000000000000000,681116156272236256022599984243/100000000000000000000,3563861264471993243595974930273/25000000000000000000,4845024615618882455989043471613/25000000000000000000,5178183508791065581340688145949/20000000000000000000,15325356773476936222721/100000000000000000000,-1585195562748119/25000000000000000000
481626838932227792819/100000000000000000000,2724540923081991675828197661249/20000000000000000000,449999160944760417470318441109/5000000000000000000,652829426082026616331649412017/20000000000000000000,4750704656122526766435925615119/50000000000000000000,22912025852904822902265520833/100000000000000000000,-33253785309193/100000000000000000000
614956796643333519/2500000000000000000,16487499187573463149103373944419/100000000000000000000,27690747377077531774991360372547/100000000000000000000,29377620343222577711269780324571/100000000000000000000,2257916107647863743321273124019/50000000000000000000,22410881548279744488363978151/12500000000000000000,-238535733491/100000000000000000000
66376795702159879869/50000000000000000000,28301185269113300129276034012189/100000000000000000000,7442660677657675916376893652651/50000000000000000000,12195529895589888334413981676487/100000000000000000000,3089378116207562383151928868139/50000000000000000000,3709510758601852578349420682603/50000000000000000000,-5092548717077/100000000000000000000
374966808026382709587/100000000000000000000,1440293083006897922915040415009/12500000000000000000,5024876008964606345380916769879/100000000000000000000,8553671089772721357709138258647/100000000000000000000,1063469224698030045528549074333/50000000000000000000,4394028496964382409137658200969/100000000000000000000,-1428392006331/50000000000000000000
256621405265404316313/100000000000000000000,315228703620653247180787669101/12500000000000000000,2144037081120268981141647562917/20000000000000000000,1487018841018031972010198444491/12500000000000000000,29268236699221912645354155487859/100000000000000000000,1837290402610098918144639/100000000000000000000,-600733382310691/50000000000000000000
331692448834867454193/100000000000000000000,17359570303092902269358584387837/50000000000000000000,1171939294509291996481932217247/12500000000000000000,2360823818206396070290113308031/20000000000000000000,3169938793139149188461533159277/25000000000000000000,506999915312305519915787707433/4000000000000000000,-16763965687321/50000000000000000000
134810133776999652257/50000000000000000000,7007143152965967533812473113157/20000000000000000000,4068994225762687703096366982831/50000000000000000000,375987048796864649388284789331/6250000000000000000,9648736123046016906115402233651/100000000000000000000,-1126631844896012079361563759/200000000000000000,-11012268620333/50000000000000000000
342193730592703377393/100000000000000000000,1646235228097309341987215803829/50000000000000000000,16970859270629755767522351030109/100000000000000000000,6989215281466169882069763808229/25000000000000000000,8944056099334766920625711618029/100000000000000000000,6848512395530821900914803/50000000000000000000,-4548436554299/1562500000000000000
28351991559119800077/10000000000000000000,42416010705597270824324475382539/100000000000000000000,151739002545676923488613385087/781250000000000000,1011628677240309887457752669571/50000000000000000000,22850176703544068616995582349757/100000000000000000000,1684249749161630483467946393367/100000000000000000000,-11719327291607/50000000000000000000
280620900049070027081/100000000000000000000,52849313974487308692284745892099/100000000000000000000,2411761099687657402398677055501/25000000000000000000,2968731160090803916647060431121/20000000000000000000,1340184398971294973352258665079/100000000000000000000,-6224099827674067084885105352979/100000000000000000000,-6367646896613/100000000000000000000
19270107660579773167/25000000000000000000,12959186613009807375512188725997/100000000000000000000,16351832110224253667183781434337/100000000000000000000,14574242861165282986235960396161/50000000000000000000,1203811152313958595330958989607/20000000000000000000,50567389333503588358457214641/100000000000000000000,-6202238890879/100000000000000000000
349736451235925432201/100000000000000000000,4351523726447198611207473857399/12500000000000000000,289423306833585229636604136353/12500000000000000000,2519374415591906485658260766407/50000000000000000000,115548506661020194790089179871/50000000000000000000,-10266610057503592532076729486493/50000000000000000000,-684409047877/100000000000000000000
54915423414612657843/100000000000000000000,2253494154033971477540571865327/6250000000000000000,1251881680308379104300750557481/5000000000000000000,6363686325217615316991178358867/100000000000000000000,218088072911730555208777835393/20000000000000000000,669423007416321168741298824161/4000000000000000000,-218167298019/10000000000000000000
451093736150169445611/100000000000000000000,24915088776336444174855331889983/50000000000000000000,1345762680876681318413049505709/12500000000000000000,6422013005498492858106402399247/50000000000000000000,9751350501952161227520990285077/100000000000000000000,-60520243463982970405097811721/10000000000000000000,-54222508599/625000000000000000
304850896158182630861/100000000000000000000,1014227314485799999037979609699/5000000000000000000,1059064720520253667246327327447/12500000000000000000,14959469517727054334459635593893/100000000000000000000,38817132785211834400702926349/6250000000000000000,12137313004361931158614020153813/100000000000000000000,-1027752894689/100000000000000000000
436540044767263881/100000000000000000,44641302887799371858758835625607/100000000000000000000,10955008897390781435418350960303/50000000000000000000,10454370797543185354594992433687/50000000000000000000,30272985607626217111553387049/390625000000000000,7544853934634806155048137524439/50000000000000000000,-8942161646889/25000000000000000000
229159315709078848397/100000000000000000000,3095017098532918079612500815237/12500000000000000000,444186991721243714197615831977/20000000000000000000,1182755332481046371718585902891/10000000000000000000,117419681401534750877538545447/625000000000000000,4539637556547125086876489848441/100000000000000000000,-5834778838391/100000000000000000000
60584327111159922071/100000000000000000000,17737875830503166112026109096209/50000000000000000000,3902103382899114075370950977741/25000000000000000000,23146423051134327595747596016993/100000000000000000000,501647232167197144368648332731/6250000000000000000,12048202429561722169477701272439/100000000000000000000,-1167963635279/20000000000000000000
36824588826265772037/12500000000000000000,827461161749444277792580843153/100000000000000000000,1619604292163986957051774395207/10000000000000000000,22258681602145442184232667669311/100000000000000000000,5385135955722895451498336182597/50000000000000000000,1914256407725396662217/4000000000000000000,-3824915017547433/100000000000000000000
39847249442171690809/50000000000000000000,457709189909131520755814427577/5000000000000000000,2635242622015550122524357910083/100000000000000000000,10046028614729950119351239492471/100000000000000000000,3156919212671655020144654396259/50000000000000000000,749249670345441637845142834447/100000000000000000000,-140533921479/100000000000000000000
2809739405031068359/2000000000000000000,12352319280062757429441755214207/50000000000000000000,89028261080212710927686417277/4000000000000000000,1701725011390103042270526130127/20000000000000000000,10060330059952079303501953772933/100000000000000000000,13015309116240389170562828295771/100000000000000000000,-1317414250537/50000000000000000000
126976796980189863719/50000000000000000000,3616448778950060793187609552587/25000000000000000000,699197599409628751503664125319/5000000000000000000,615192473772490886079050137821/12500000000000000000,39921959687263544879922758229/25000000000000000000,1655315177442774951406748345669/50000000000000000000,-21745225959/6250000000000000000
7507008097381342867/100000000000000000000,29076981777809694413930912158687/100000000000000000000,14364142492702481791314267594681/100000000000000000000,12351391763257108591000434920203/100000000000000000000,1466314892255330630022269109547/10000000000000000000,3487276569386751941706201133167/100000000000000000000,-33897046163/6250000000000000000
54837233120815142783/50000000000000000000,1343157426820122477961895502531/50000000000000000000,1639930741129924297387376040669/100000000000000000000,14562871987622058970802659846217/100000000000000000000,8867315847788778808889928452757/50000000000000000000,26693671086745194554020679/20000000000000000000,-11967071735603/25000000000000000000
363104377370875790689/100000000000000000000,9834344528572962257583994271347/100000000000000000000,21136431993555743811449181836297/100000000000000000000,15507650339289710326912861496327/100000000000000000000,242418059667264760523957989909/4000000000000000000,1579543512836106594549531729/100000000000000000000,-67588518595627/50000000000000000000
36146967534690491233/25000000000000000000,3804166347846762748721853726953/50000000000000000000,9788258937023127398138700206839/50000000000000000000,10136168203207721521396509310339/100000000000000000000,8174341289620035311600099767297/50000000000000000000,348378268348950966720293397/100000000000000000000,-3725647870197/3125000000000000000
120826785134581431939/20000000000000000000,7034365544030029744745014099749/20000000000000000000,2375931789256768877126948813491/50000000000000000000,1618047864093062892060505350967/20000000000000000000,25845748027660363384401647883461/100000000000000000000,616526451488167854682415809841/12500000000000000000,-4699823965629/50000000000000000000
204284000450661720227/50000000000000000000,11810213599747445582171969254961/100000000000000000000,858494072983631828725837651423/6250000000000000000,1075026909092303083799363876203/50000000000000000000,6764209436479840035211151108323/100000000000000000000,3992161602275845916671505999/50000000000000000000,-10412623591117/25000000000000000000
4373390386560716389/100000000000000000000,30441702546693825963489332268903/50000000000000000000,32803053208795880104574487067/250000000000000000,8488854638066772592708736461819/100000000000000000000,20459018366109550152015393248149/100000000000000000000,2973460472643914477332113230837/10000000000000000000,-578791671089/25000000000000000000
31527095729211226303/10000000000000000000,5313246592971430002183342740409/25000000000000000000,488548325068434449595468664369/10000000000000000000,10124443432129224916811479707379/100000000000000000000,5946464960288587825241590976137/100000000000000000000,10463396019930118664038661529217/100000000000000000000,-1364563744491/50000000000000000000
379780717206148291423/100000000000000000000,7550989791315732865736836302357/25000000000000000000,1551940956829122817090766607979/25000000000000000000,779531911048141763512351118599/25000000000000000000,1473250032145679259215402490187/25000000000000000000,-450042970555375246432455199871/100000000000000000000,-22331422477027/100000000000000000000
619716568879496045757/100000000000000000000,27937086643470667085343236299183/100000000000000000000,158824953405163240289981094177/100000000000000000000,138786741184930539454682303971/10000000000000000000,15092910581506100810627300137/1562500000000000000,-9589653049992531003910165849479/50000000000000000000,-64723999293/12500000000000000000
1016332200176657729/200000000000000000,1768350235497326773583531723397/10000000000000000000,4983296387416226843926276862541/100000000000000000000,585502987493528667057162022307/3125000000000000000,882795671129982371512747402887/10000000000000000000,779464273698638375702169235807/20000000000000000000,-857792818879/10000000000000000000
748705811341741579/625000000000000000,1116816213230855327439679587567/50000000000000000000,2576125086477362801007398438311/100000000000000000000,1818480985697289896710221513953/12500000000000000000,100550984039067036518625365301/800000000000000000,67816234516633780889303597/100000000000000000000,-4301296044463/10000000000000000000
34651892733351104759/100000000000000000000,875321191198410368535394225761/6250000000000000000,2304760862096689650962604604203/100000000000000000000,1902737000228882244756422957463/10000000000000000000,765034107207175246614624264923/6250000000000000000,1518360810383236897616617197917/100000000000000000000,-189847072267/25000000000000000000
21870565821645794851/25000000000000000000,59619596192126703380129873040031/100000000000000000000,9097009022673763343243077857333/100000000000000000000,12750336727489773662616044930923/100000000000000000000,13085757033315728498128703071179/100000000000000000000,-424955094705992064082035847119/10000000000000000000,-8508782809167/50000000000000000000
105646436649044219209/50000000000000000000,346988789437827030080760662073/10000000000000000000,820162276481202440710777442583/5000000000000000000,2831359316529457587035788212361/10000000000000000000,14747709746270715067023894557453/100000000000000000000,701178783013677848265727/5000000000000000000,-802825777375229/100000000000000000000
325724621426330406479/100000000000000000000,27983631158711627885774122798139/100000000000000000000,11682020501214719736077182958973/100000000000000000000,5345832584088398282379525913961/100000000000000000000,1559238199740633666724322085711/20000000000000000000,4260018608223450242764199400733/50000000000000000000,-4244263112467/100000000000000000000
52112403900268815559/50000000000000000000,23179941755321894301297547227883/100000000000000000000,732693928541545078271436074339/100000000000000000000,9153624033469750548518563343693/50000000000000000000,21307605479944865401753859186999/100000000000000000000,1018779239071928312784093539633/20000000000000000000,-74612676293/12500000000000000000
17276416267998583639/20000000000000000000,2299303426096578264659853294907/50000000000000000000,20630512569618398116468101793467/100000000000000000000,728011069473794765326448258537/50000000000000000000,11098570582252993501041341622609/50000000000000000000,40356992892089197284483911/100000000000000000000,-196844709312803/50000000000000000000
98979930088205475259/100000000000000000000,526971934185365572548678989839/10000000000000000000,12301112525394091228718870768867/100000000000000000000,17930852514211572144082107460891/100000000000000000000,247463209225275690448407152251/20000000000000000000,1657228773665659440896250189/20000000000000000000,-83902522871/5000000000000000000
67648773603412243211/100000000000000000000,21804589557001741291199345412977/100000000000000000000,7634473853786260105518440595799/100000000000000000000,2357468486880069295200794491413/100000000000000000000,1744387846705612934938271144509/12500000000000000000,1641745520696402036542654208061/100000000000000000000,-1076413373139/100000000000000000000
78718648227644321321/100000000000000000000,15656236398276015899036551536339/25000000000000000000,10078560799318823912959917522079/100000000000000000000,164605593617316211108615551847/5000000000000000000,26758693011245824269570418725261/100000000000000000000,-1869527341656930006029243149363/50000000000000000000,-5364809368781/25000000000000000000
42020351955165380857/25000000000000000000,4534949572176740555767342884179/50000000000000000000,4214421181502649879563128161723/100000000000000000000,3645830345475378739855383463071/100000000000000000000,11073613688660419957795170586311/100000000000000000000,3677254756852720436286956943/20000000000000000000,-301856513279/6250000000000000000
97027340105819819181/100000000000000000000,15940320824687279790553598131121/100000000000000000000,11160648645382008529268734807687/50000000000000000000,6048602140738407777786280601463/100000000000000000000,3926474493168015219941113911/312500000000000000,377415048433334841420394707391/100000000000000000000,-379708929029/25000000000000000000
6812983962196228953/20000000000000000000,3724811145947030139707036431629/12500000000000000000,7862977045383860382808428902491/100000000000000000000,4682084929882898662229428765251/25000000000000000000,2245743113837852703064107197427/12500000000000000000,5119694573026701986283887453539/100000000000000000000,-23256148553/12500000000000000000
79723665883456956369/100000000000000000000,12771344271927280003985999480097/50000000000000000000,11840195516171338770831843649899/100000000000000000000,17285113653891415429587805209/2000000000000000000,1277570393586917884105894188813/25000000000000000000,-34451859779465514416148325753/2500000000000000000,-2606589788343/100000000000000000000
683169584285980949049/100000000000000000000,5136649594428612039070074914877/20000000000000000000,2476560597425767156227568477299/25000000000000000000,1671635761051210052098393018013/25000000000000000000,2950955065375819092051863083501/20000000000000000000,665901105860796507368322005457/50000000000000000000,-13724982692019/100000000000000000000
162927297636363277709/50000000000000000000,6015592587117517967990912467897/20000000000000000000,7236242692520058576206140500783/100000000000000000000,1770132969976432469988819368761/10000000000000000000,66944082295178494494040807833/800000000000000000,580944446752072717484008136607/4000000000000000000,-507683126421/5000000000000000000
106325840036494167203/50000000000000000000,4369635090795475959163450082337/12500000000000000000,2558613849165132732995276272559/20000000000000000000,2984024533525978986015322977453/50000000000000000000,1740775784384005312533311034773/50000000000000000000,-225281156492734163918766517077/20000000000000000000,-3044787418757/100000000000000000000
132381331988258441303/20000000000000000000,9056840631137588448959921394979/50000000000000000000,17448235079343225987882671562547/100000000000000000000,5981957046774788575968505952491/50000000000000000000,5712346529617158588786877643513/25000000000000000000,2510783395612013462472509839/100000000000000000000,-617768376382499/100000000000000000000
69370285640260647027/100000000000000000000,110878885005625020771570212897/1250000000000000000,12970129831138073032983113130059/100000000000000000000,114622513944596760317879145173/2500000000000000000,3100845675055022167276107964667/100000000000000000000,1973041878091314149039427689/5000000000000000000,-4505862287351/100000000000000000000
52233298581280484027/50000000000000000000,33042402585938683080229398767393/100000000000000000000,2457042015459732453391381042819/25000000000000000000,4164331582229372934776220217271/50000000000000000000,13663822919599126226720158329751/100000000000000000000,9593852428741712651302835934373/100000000000000000000,-4395051393193/100000000000000000000
109431462109238904961/50000000000000000000,44316568874144267677814004291/2000000000000000000,3969278806154285823567268660837/100000000000000000000,1275990986655338858624950476577/25000000000000000000,10236828350771432112371594792627/100000000000000000000,30915859914223574879903611/100000000000000000000,-3616051603543/6250000000000000000
86142694060021247/390625000000000000,20583039781173140234597409486873/100000000000000000000,11424626280929511555513511488903/100000000000000000000,6975930846211742831809992673253/100000000000000000000,985149393222615816205409760383/5000000000000000000,172854717021439762379651824027/50000000000000000000,-3848540816733/50000000000000000000
72081852289908024759/100000000000000000000,634156361658551198133854723573/10000000000000000000,5161686408748970213277698207049/50000000000000000000,303663369003361502129252339959/6250000000000000000,353717902723182995709162859783/100000000000000000000,34859950413235291941937866021/20000000000000000000,-53458597589/12500000000000000000
292795657334308516513/100000000000000000000,31723179566884696290867380131057/100000000000000000000,996546105639769621624945173631/5000000000000000000,4400161521378914576508232520349/50000000000000000000,3556469361203056174081218706801/25000000000000000000,501559309757465629526787970997/100000000000000000000,-2258754928447/25000000000000000000
97591239913431481249/100000000000000000000,35548424699734964382781140878443/100000000000000000000,3136835041675383635338751709331/20000000000000000000,7446808004033676182234411147679/50000000000000000000,22349691118543245118536446584073/100000000000000000000,628761027446229923370775623303/50000000000000000000,-12500985977123/100000000000000000000
148764708326416953549/50000000000000000000,36688444830237341898257221771657/100000000000000000000,15738482026101833990599963252873/100000000000000000000,30335967551205073876058599880889/100000000000000000000,5508272696560185651823640751041/100000000000000000000,975159667219926775691612564123/6250000000000000000,-244223458389/2500000000000000000
350553616979791583341/100000000000000000000,2519958985606935606057987805459/5000000000000000000,9238730572060834492990334171077/50000000000000000000,11153740620027834143619853182027/100000000000000000000,21605722872071772766652761679959/100000000000000000000,10392066933284592924542249885563/100000000000000000000,-3328647205271/20000000000000000000
543892815956247985859/100000000000000000000,32877657839345582355979837971311/100000000000000000000,40233995560275868147407789857/20000000000000000000,6274233167157942539604569727913/50000000000000000000,8307848421303119394127125963837/100000000000000000000,3752322160237919051802031999891/12500000000000000000,-842047505103/100000000000000000000
136061153265680733639/50000000000000000000,18407441103201026123292127966469/100000000000000000000,6042400392067315913082990967511/100000000000000000000,9776044860956448785702036229137/50000000000000000000,4893471841818745213773004569007/100000000000000000000,7482614052443099022033232765489/100000000000000000000,-814860592689/100000000000000000000
40960144966924359777/50000000000000000000,11086465843879887026761638359897/25000000000000000000,6074718851942557286156446451659/100000000000000000000,11887046218247972896958618240109/50000000000000000000,2995781603022791978175822138881/10000000000000000000,618876908161482108780686711453/6250000000000000000,-2828558141391/50000000000000000000
1136465812558585827/1250000000000000000,5014071864843703303937594575049/50000000000000000000,267521502280457731618278297073/3125000000000000000,6022480690283729720777998413367/100000000000000000000,7259628417651996132399381901453/100000000000000000000,4918222525389428207311968679/12500000000000000000,-6726640079391/100000000000000000000
53516868210240967009/12500000000000000000,50393469417148358585608121644437/100000000000000000000,4821423485996150514701244994069/20000000000000000000,3505431249267503136615856045917/20000000000000000000,20246071893498159703494178567987/100000000000000000000,6278614886404729336193486291457/100000000000000000000,-23846654349/160000000000000000
25360363559495480033/25000000000000000000,1128636538236884098950679752917/4000000000000000000,2975828136308129711969579123771/100000000000000000000,5579536627958031893504022727711/20000000000000000000,615756559596948215255566864153/20000000000000000000,4977944379516236834231642233043/20000000000000000000,-847287393121/100000000000000000000
7907582501787547367/100000000000000000000,698407966814880552412241776359/100000000000000000000,29995584138930701857385452208459/100000000000000000000,333847383617555600247322995757/3125000000000000000,1481254945845909830831658821743/6250000000000000000,108876114827983820959003/100000000000000000000,-1101556583216327/100000000000000000000
17894398111040948443/6250000000000000000,29289308300466905414920649086781/100000000000000000000,198257011105613214962712028193/781250000000000000,1634961711768867522990760224431/25000000000000000000,1490322511425398303296473991213/25000000000000000000,368282667065536170824595757023/50000000000000000000,-4360166432623/50000000000000000000
129006895596422089741/50000000000000000000,1641837442086793444157844085519/100000000000000000000,4491989500986362281363055547613/25000000000000000000,684332163282253066141903133051/10000000000000000000,2150471733315818317202451860311/10000000000000000000,264119990681713349710157/100000000000000000000,-531060372072203/50000000000000000000
2618206061071910239/10000000000000000000,14374714143289301458788966393089/100000000000000000000,480605091554670162577630248203/12500000000000000000,5696070755238882948482705300623/50000000000000000000,1310019227511635386568330260981/10000000000000000000,819008514421005290040530328251/100000000000000000000,-11416209469/100000000000000000000
274370914210727728423/100000000000000000000,1034435330850531527271122015023/10000000000000000000,2889196423861433248981810466521/100000000000000000000,1549970929672709191573926051917/25000000000000000000,472400499949414101813402526921/10000000000000000000,2744348934933929032212594755279/100000000000000000000,-138040762693/6250000000000000000
314306258921025032089/100000000000000000000,16560489397918683863751926338407/100000000000000000000,6223258178256989698968268581339/50000000000000000000,20918777166349513241102991773997/100000000000000000000,3553823275899376748269131929423/50000000000000000000,11239948750694768989385075741/10000000000000000000,-12902518870837/100000000000000000000
292357703771468828799/100000000000000000000,226215134275102238006691559737/1000000000000000000,12942828740947460120722427877337/100000000000000000000,3463743500790526725036938309311/25000000000000000000,524154466965658380933833918799/2000000000000000000,10756920873682690399423443757/50000000000000000000,-115492627251809/100000000000000000000
73734356472285873423/50000000000000000000,1339467788236548398457406355163/12500000000000000000,6181898950892109998679781716569/100000000000000000000,2133024720930374302730321028031/20000000000000000000,1893118865342344358699814069057/50000000000000000000,1001627200524510309686211183109/100000000000000000000,-7056740611/2500000000000000000
65605536073782914621/10000000000000000000,2723328343228099810670246013633/100000000000000000000,1799235027916353820107148138509/10000000000000000000,6221326291907078574703658597/1250000000000000000,139516950030078329415042254549/5000000000000000000,2534806936982509849549931/20000000000000000000,-49739569194229/20000000000000000000
123421554934034075731/100000000000000000000,1439778635394591255216603397093/12500000000000000000,3262272773465149438337506343863/100000000000000000000,6078513719408979398878576556181/20000000000000000000,203002027907076019450350225333/100000000000000000000,5258125258733181695519766520269/50000000000000000000,-112595445843/100000000000000000000
138427714930395832557/50000000000000000000,11374336051001741194887153389887/50000000000000000000,982659237475611458893179976747/10000000000000000000,4752463770385341389802674204363/50000000000000000000,5547230880087960364364451243657/50000000000000000000,105112652043999966190518854293/5000000000000000000,-81376920327/12500000000000000000
9259362858333518229/4000000000000000000,699064149827949812326259811993/6250000000000000000,9526275682580075392647717975657/100000000000000000000,23672643981135650878931381675669/100000000000000000000,2665631114969488700819850480517/100000000000000000000,25371607666473634589757064433/10000000000000000000,-642386931497/100000000000000000000
28060008629311063093/20000000000000000000,29055220626304638753170057124731/100000000000000000000,827734138760925503850989868847/2500000000000000000,14130519556691864206454386549753/100000000000000000000,3964848974237273816397199079947/50000000000000000000,102426586282663900039347049371/50000000000000000000,-32852520949069/100000000000000000000
159223990191421334849/100000000000000000000,38579858242883658625305995466641/100000000000000000000,7628799479540171859750447189631/25000000000000000000,12106247589170375195013663277/200000000000000000,1917200464457627853709746537463/25000000000000000000,1308019851994935212768728076969/50000000000000000000,-5070711749261/50000000000000000000
337459313981630769711/100000000000000000000,9882637304137373955100054325689/50000000000000000000,18759741018673535783904287953907/100000000000000000000,12706175381425907440268059601933/100000000000000000000,935328435525100082052442360243/10000000000000000000,20542439880406203136941911969/50000000000000000000,-8312352978083/12500000000000000000
158428549759482802727/50000000000000000000,6342928867384177004045008967911/50000000000000000000,3510691646693681657047493173297/50000000000000000000,1683805963658746997177887827731/100000000000000000000,2022220356138450748393508765679/100000000000000000000,-213017841022496594217681758169/100000000000000000000,-261404746487/12500000000000000000
167145157658652582577/50000000000000000000,15486182026982145264783567489623/100000000000000000000,9019490939818515955148556849559/100000000000000000000,10101528949320731075606070480717/50000000000000000000,9459396954920526178841924630957/100000000000000000000,85128706628900359937106455061/100000000000000000000,-7138889425193/100000000000000000000
3237388640060281847/12500000000000000000,24857748106857874296995292297447/100000000000000000000,4763989805247907352431252412219/50000000000000000000,1569564658098589014233473797559/25000000000000000000,7191651969014488397639778410699/100000000000000000000,127934103346943983868473651103/1562500000000000000,-393960527279/50000000000000000000
77549292775191478739/25000000000000000000,512388803382006943550253624257/1000000000000000000,10477821830081077864504498460551/50000000000000000000,17447155222475502633865618186933/50000000000000000000,4479364932681016218961682827397/100000000000000000000,6605280843958277128017001739999/25000000000000000000,-2853364391081/50000000000000000000
42997576174907380637/20000000000000000000,5963934149466690903613372849613/25000000000000000000,990848893841806570197661622921/10000000000000000000,26544616816487757302854632794393/100000000000000000000,656787007699573800600330643749/5000000000000000000,738060394530292654058298964821/50000000000000000000,-662488112129/20000000000000000000
177816311300804436481/100000000000000000000,950853524526738545380202034387/20000000000000000000,14854285080017063679504797280301/100000000000000000000,32263047054349258043786300964337/100000000000000000000,15295834087659532489763658837043/100000000000000000000,68038756925671484813637157/100000000000000000000,-304880715097313/100000000000000000000
23507663124656491383/100000000000000000000,19675115422767393369224932762301/50000000000000000000,6394393484338892028662026691519/20000000000000000000,3045412691855505494736719315397/100000000000000000000,14348106226394150478817947462099/100000000000000000000,251164223684381164719768885371/12500000000000000000,-2416595501321/50000000000000000000
52908578278085093067/100000000000000000000,5023456787392327919657769532923/100000000000000000000,1281737480317163759856926887291/25000000000000000000,5584551337608190632638936872627/20000000000000000000,3933186712061366318864907012847/50000000000000000000,614574235196188644212708377/12500000000000000000,-3707494565409/50000000000000000000
1397548916434687323/25000000000000000000,22354341777332017648808831770261/100000000000000000000,25096279615667302361356106008883/100000000000000000000,1004193260376393638287071415693/6250000000000000000,7263773375234606060565637644101/100000000000000000000,257540174549540348992178795993/20000000000000000000,-1786184096951/100000000000000000000
5209019392184959301/5000000000000000000,53239289786461821412322100881/1562500000000000000,4534552794598845547372484463881/20000000000000000000,4319259003302217448250817890349/50000000000000000000,26356146401110449650155111260901/100000000000000000000,405795212671151808527593/6250000000000000000,-1299147078762741/100000000000000000000
40276203986506883481/100000000000000000000,2650701567642738881404628539871/25000000000000000000,1420794398996020635825228188173/25000000000000000000,893004542253353858789294614213/50000000000000000000,1278637179375009279027221081919/20000000000000000000,206934563130038814214166269473/50000000000000000000,-68311357427/50000000000000000000
310959000856917733827/100000000000000000000,1526017073092967950211717310397/50000000000000000000,7089036814734736106373677081111/20000000000000000000,20656339521457525442928785979411/100000000000000000000,8197634744227718892598250065081/50000000000000000000,1348996647242547536779619/100000000000000000000,-6413025223967049/100000000000000000000
799308402478564233/1250000000000000000,2433462217184845803203174138541/100000000000000000000,12366322994556271025791703910909/100000000000000000000,7207711926855761208719967040303/25000000000000000000,1813882308362088554167504372959/50000000000000000000,61190296778183191271015919/50000000000000000000,-18684657740487/100000000000000000000
1551721929549026641/20000000000000000000,7809247667503256525242821893197/25000000000000000000,8068870038286420521206318741483/50000000000000000000,229966651742623910304717746867/1562500000000000000,1036677451716049624343720882403/12500000000000000000,3935941004849531358519228511243/50000000000000000000,-902417305727/100000000000000000000
28759472942499571609/25000000000000000000,20382631624452862665671406811/48828125000000000,1846452016808553004575485422577/25000000000000000000,6450184896639555697787055558933/100000000000000000000,1160480012965443628720808812741/5000000000000000000,5810846138755351394355010454113/50000000000000000000,-3537056563753/100000000000000000000
155938885690045975889/50000000000000000000,25727930021931884872623448000883/100000000000000000000,22943034830268837755926714351939/100000000000000000000,19371364293987706654704163888111/100000000000000000000,10296175559658829915103898847911/100000000000000000000,103006675858568134444946281077/100000000000000000000,-20410472184419/100000000000000000000
2231917078508364637/1250000000000000000,13348641810489453545327383385041/100000000000000000000,779549686897990308229544644423/10000000000000000000,33517197601255955564445416821/500000000000000000,9443259285172927084271463185637/50000000000000000000,1520241719167404179025307677/12500000000000000000,-29176765516539/50000000000000000000
25693682704470094883/100000000000000000000,16800394279656733357703333483231/100000000000000000000,2826670710440033903274597697571/20000000000000000000,2257715670869574239201565007323/25000000000000000000,3710912102716291633315852249211/25000000000000000000,137581581980690404453193187679/100000000000000000000,-9352585974863/100000000000000000000
55968308980944067403/12500000000000000000,546388593832304898797892439907/20000000000000000000,5689344878451617088820748811101/100000000000000000000,829212303066593897105935905133/100000000000000000000,1135876375686747901031316431271/20000000000000000000,12198418165272388900801059/20000000000000000000,-18149421613413/20000000000000000000
233364085182349006913/100000000000000000000,28048239546923723290998417153257/100000000000000000000,2458969598244098128867188652127/25000000000000000000,14937504172235349522204267951041/100000000000000000000,6452821982637241565987489038799/50000000000000000000,674123337038096237885454627063/12500000000000000000,-4591655504893/100000000000000000000
199825708184898748759/100000000000000000000,6079497084138074180224168748657/25000000000000000000,156369459576996457335786083329/781250000000000000,67081511365806510994171316721/2000000000000000000,11847402128866535670803941968547/100000000000000000000,62338293018694931807017316889/50000000000000000000,-3508117660633/20000000000000000000
103644675957149801259/20000000000000000000,33682747446593732033886142656417/100000000000000000000,914869911221397342573891947067/25000000000000000000,9117370868140753672701108177217/100000000000000000000,2341694719044978374748371204639/50000000000000000000,-48031791786158088592069288643/6250000000000000000,-2560762853067/25000000000000000000
252333285526620763141/100000000000000000000,12902023982293597744560915379993/25000000000000000000,383890644510736902285905086153/6250000000000000000,4270882961650147137951825842647/20000000000000000000,2860995845255779869968742571281/25000000000000000000,6967813664944859756629156059331/20000000000000000000,-507794806327/6250000000000000000
