Up to date
A,D,B0,B1,B2,Root,Y
75163420728704117567/25000000000000000000,11303085624646328180896982993731/25000000000000000000,9385714732329876344643411105917/50000000000000000000,46029582671686353085297940641/12500000000000000000,4616149983717296143004225172257/100000000000000000000,-818426969529766550227858361899/10000000000000000000,-1204837826947/100000000000000000000
11260159644790598021/5000000000000000000,3242883316910589910091436207691/10000000000000000000,10494677163827269373148527371523/100000000000000000000,12669711294983748882063694411163/100000000000000000000,3177434342462314778144072299673/25000000000000000000,927721537548495567231633874899/10000000000000000000,-1132996424289/6250000000000000000
104753422902224343813/100000000000000000000,19052521797259277375993783870177/100000000000000000000,30688752990582028395130487805433/100000000000000000000,9588424972371196872249516349679/100000000000000000000,2740437584041349481264116695611/20000000000000000000,26745295782086341878786557701/100000000000000000000,-400883230409/10000000000000000000
8068730289606627539/2000000000000000000,2500145176080267290592877036393/50000000000000000000,17767332749539533517525892128719/100000000000000000000,6099637524739941352738578343139/25000000000000000000,3657570654527055764891746207131/20000000000000000000,6588470632546692603646851/50000000000000000000,-324461191910081/10000000000000000000
139683024827079759171/100000000000000000000,47426728695897203534446837181/200000000000000000,265500591487649993560007214941/25000000000000000000,735411914758228622907782996833/50000000000000000000,10252064078085349202978148208657/100000000000000000000,-1792746533899890331211790548547/25000000000000000000,-132092868289/20000000000000000000
75577808529448269327/100000000000000000000,2523219541356988157792936717487/12500000000000000000,542996772953534910901126733621/12500000000000000000,6229870682458369180672803340061/100000000000000000000,12963401927728770017531605330767/50000000000000000000,9763215107748968876173372757859/100000000000000000000,-743010036877/25000000000000000000
6789232102425385931/6250000000000000000,1968246624002249927003807322351/25000000000000000000,6860248462565810230508362387527/100000000000000000000,733224272439601928490675826939/2500000000000000000,6628981265705237331150865548321/100000000000000000000,843543067999665646597778897/100000000000000000000,-1719327266277/2000000000000000000
56793900190149087309/100000000000000000000,14358312322752975921038044611233/100000000000000000000,14207610391876118023568521490521/100000000000000000000,108093593449160164976447327379/10000000000000000000,2818483907010290746673915664529/25000000000000000000,1815425784019247493332867881513/100000000000000000000,-37614273177/100000000000000000000
18307704216325765501/5000000000000000000,1106309646510994730278189928037/6250000000000000000,4170797746669378917445657361709/50000000000000000000,8157263969679270913181210909271/100000000000000000000,121040529143923306041981468991/4000000000000000000,1407159484122892683342477191433/100000000000000000000,-304426376201/50000000000000000000
157868913716791308783/50000000000000000000,916945540241189254047381158183/6250000000000000000,2289862392593707139468733154167/50000000000000000000,5928406185283133785037412287599/50000000000000000000,16459370750504980456659096823753/100000000000000000000,87715472861918298596498627591/50000000000000000000,-1030925283457/20000000000000000000
420114348014577459/100000000000000000,1095198487600685262391900905051/12500000000000000000,57492843888316172584876338263/10000000000000000000,1040105986578322321808786328053/100000000000000000000,2097752191856012927964601366229/50000000000000000000,1874606941295482831065494937137/25000000000000000000,-342128726507/100000000000000000000
159687128877948011809/100000000000000000000,36525239302524592532516576647363/100000000000000000000,5055650035144463744178609305559/50000000000000000000,69257518406670237417314436953/3125000000000000000,1537977365199029116624096789929/100000000000000000000,-2626410435956670887598591291021/100000000000000000000,-4146275758843/100000000000000000000
2010724263168692479/12500000000000000000,11285805178283043958700605983753/20000000000000000000,7772492529100749606310983175149/50000000000000000000,10450558819103101124639013057121/100000000000000000000,1833943362964285670722943326361/12500000000000000000,16691981976305422574471756882097/50000000000000000000,-3322340738417/100000000000000000000
115509421673370452469/100000000000000000000,50117187170693240334769664589181/100000000000000000000,2074114794274797090107001988879/100000000000000000000,7260171849195510298870747416091/50000000000000000000,1020467010805101559268833254901/50000000000000000000,-6479154617134340268258647535589/100000000000000000000,-8180543905317/100000000000000000000
36166737506703954777/12500000000000000000,3017843870869597921605093078217/50000000000000000000,572937344540175474872225124309/6250000000000000000,7510713328870493745459952187899/50000000000000000000,19234590908250000896127769527967/100000000000000000000,250639384915198594825144081/100000000000000000000,-11201430012353/5000000000000000000
134498521628381484471/25000000000000000000,7711036375055258317146123083709/50000000000000000000,2168568070675355626794068220867/50000000000000000000,816342152153389939468837530121/6250000000000000000,6259771103489008554890528102597/100000000000000000000,115808648169231281198193052771/100000000000000000000,-8976323346373/100000000000000000000
28745373034917405951/10000000000000000000,1517826694018116861963361461771/10000000000000000000,2510752014582171016032682187853/25000000000000000000,2301906983656135173308311019109/100000000000000000000,18306376451020995935531922053749/100000000000000000000,600531106007292594687480727829/20000000000000000000,-2065921537/625000000000000000
86382078231903677607/100000000000000000000,235646074122845359079727754443/1250000000000000000,222813558228561334998379740969/10000000000000000000,496713972734854105176960412737/20000000000000000000,4460519859764318207789047218819/100000000000000000000,-2316197803843775249141144865791/100000000000000000000,-22179190169/3125000000000000000
16707217188476883869/4000000000000000000,4587497884460997074457740899657/100000000000000000000,8395662953868774296488960228597/50000000000000000000,10474686316988738434650228599137/50000000000000000000,2119184514605857178171453580823/25000000000000000000,12457120470226009562284503/100000000000000000000,-1299078587607369/50000000000000000000
70814883644152042929/50000000000000000000,3965711483805235008748701950127/100000000000000000000,1386013320410466171052540735961/20000000000000000000,1703841688900558873736532326013/50000000000000000000,539969308743671889872783949287/12500000000000000000,1566069538389606908123427579/100000000000000000000,-8047776886677/100000000000000000000
17816146455271317563/20000000000000000000,7690636090846797462052128956639/25000000000000000000,80661374343362199130769854071/12500000000000000000,1428403704846761642904407930159/50000000000000000000,15121850968667915836009158511617/100000000000000000000,21634932618253363987858904671111/50000000000000000000,-119347831789/20000000000000000000
44054029425842569189/20000000000000000000,19696354336178147862322584899167/100000000000000000000,5326726985011975851154484593587/50000000000000000000,844755487206856526359720763657/5000000000000000000,3812368554398513266108291108373/25000000000000000000,63144745738052179568620296687/100000000000000000000,-758531801519/100000000000000000000
128630947414221883377/50000000000000000000,33109509187176838796908994695607/100000000000000000000,3228446053328530274494395239281/25000000000000000000,13894738486024212684823432203577/100000000000000000000,6737201530573650448497427969841/50000000000000000000,6383730334570743649992192320433/100000000000000000000,-20127201405057/100000000000000000000
198797526632627051617/100000000000000000000,8113802660731020357025104018571/100000000000000000000,461468583146424398459593947929/25000000000000000000,25521975268416629134013475867287/100000000000000000000,409642896967316213508004643937/3125000000000000000,3270779527315907885900904407/100000000000000000000,-12833720511021/100000000000000000000
4178062028662553951/2000000000000000000,9639283135950793991966818320517/50000000000000000000,2585657581253518692094298928083/10000000000000000000,14278241633814615864639634168573/100000000000000000000,48000621057460527778160033541/2000000000000000000,180995470576677757016538021/1562500000000000000,-4536122691977/2500000000000000000
81928420989458225637/100000000000000000000,14567187191694775807129989243649/50000000000000000000,9060536619280493947471659506203/50000000000000000000,8784491670328023976593079739191/100000000000000000000,21479336969849215718446748986547/100000000000000000000,811549348482104649643503122839/25000000000000000000,-1126094001199/20000000000000000000
208323787360364631/125000000000000000,35870527493530588562374716770081/100000000000000000000,74508562981009602176839926567/5000000000000000000,684868565423231322571228130703/10000000000000000000,9615141520469980128849844476717/50000000000000000000,31036580437521310986426257938461/100000000000000000000,-1216711929621/100000000000000000000
450193278730224256613/100000000000000000000,29097396639839390978572208456689/100000000000000000000,3771357048627141754932823330037/100000000000000000000,6254225546326598495677141949451/100000000000000000000,3175219168034843024301141508783/100000000000000000000,-479504820083492405569929525299/100000000000000000000,-10328642367481/100000000000000000000
95117802575084949657/20000000000000000000,12276382291313370840507190355661/100000000000000000000,1216817307970194394588994566007/6250000000000000000,2737590662320796065048975949833/100000000000000000000,24606540168793975148813025503/200000000000000000,12244904918472926670445335973/100000000000000000000,-12578283227359/100000000000000000000
130893390279949438043/100000000000000000000,2837225269265638895200417967909/20000000000000000000,259029928306102634873335742711/10000000000000000000,6631442188178058898764599240239/50000000000000000000,6188307803720219155125312065219/100000000000000000000,484016383725591124077789293959/100000000000000000000,-1007178201059/50000000000000000000
49019431222446241901/100000000000000000000,2044117644075084427522925296369/3125000000000000000,2982623986015389841849621928287/20000000000000000000,4028549904798261643290597573419/20000000000000000000,12422980073993300716741631930747/100000000000000000000,-172321472813105331083394800227/3125000000000000000,-440001263747/2500000000000000000
