Up to date
A,D,B0,B1,B2,Root,Y
376835314028739306469/100000000000000000000,3800560687549609993678800555671/50000000000000000000,404530911655410800185126628759/50000000000000000000,6462833823591040222948553325989/100000000000000000000,568102128941663194150207384543/25000000000000000000,31292362179695181198296528507/5000000000000000000,-134974169191/100000000000000000000
131577891407445415239/100000000000000000000,1127124483003267024735814427593/20000000000000000000,6575839435334133519263614408499/100000000000000000000,9817717508474704134185302583117/100000000000000000000,168146058711456204150675545103/2500000000000000000,745967477103494385379462251/50000000000000000000,-4747044395043/100000000000000000000
106233500306562485097/25000000000000000000,6833702908078868414779543824497/100000000000000000000,815869594766832640605373534061/25000000000000000000,245111964279753390521269201691/4000000000000000000,5031147274987128630477115840703/50000000000000000000,6691424189660117379674138193/50000000000000000000,-922319771087/25000000000000000000
31602614346314537887/10000000000000000000,290362415579925922594416539187/6250000000000000000,29244865566613270342646826595561/100000000000000000000,9175270844783677162328075303701/100000000000000000000,2856053214066024654145727332559/25000000000000000000,4455185432674162228849081/20000000000000000000,-205127740173917/25000000000000000000
39297673208212063529/50000000000000000000,14945684479513121868687247176209/100000000000000000000,10434660176359313161331433790327/50000000000000000000,1226955270387245282646441731043/5000000000000000000,741335243226864096526610753333/3125000000000000000,1091013977140638301537602633/20000000000000000000,-74577687033727/50000000000000000000
83444577063049637443/100000000000000000000,486270951481083080421186898537/50000000000000000000,11857189411383894193796917820159/100000000000000000000,193910186443558456321703873299/20000000000000000000,914536268685398861294649590347/25000000000000000000,10752367100556329260884333/100000000000000000000,-17716612654177/100000000000000000000
4499030812373596987/3125000000000000000,24971437674845282747144704975793/100000000000000000000,2431864402585013549568582256177/20000000000000000000,8471642282793179781670788892017/25000000000000000000,199014099690353272844465486849/20000000000000000000,2582843355817539004509372469/6250000000000000000,-23291684129267/100000000000000000000
355971522410565293737/100000000000000000000,1434192471192608786160674463953/4000000000000000000,17196197445037711863128749811237/100000000000000000000,676016477462892362923693435999/100000000000000000000,20081445063107260275260057980083/100000000000000000000,10153657887860247269105083270699/50000000000000000000,-3935886360339/100000000000000000000
34480375481729371841/12500000000000000000,34190605631257608461862649438519/100000000000000000000,1877069900549680440778823916273/50000000000000000000,7307057940343050645903132208593/100000000000000000000,4035832830437888050159827044221/100000000000000000000,-1044629279305208653774746504311/100000000000000000000,-66550770531/5000000000000000000
36176452074646121349/100000000000000000000,2578551736345280661589940850979/50000000000000000000,9742159752526950503844184921021/100000000000000000000,7686878194408385691382719432533/100000000000000000000,3848819849170035958653882830707/50000000000000000000,699363118257438285494947517/25000000000000000000,-17694688566479/100000000000000000000
90251062031873562371/100000000000000000000,183582022266401584874128354781/390625000000000000,81321864738758647403784839811/3125000000000000000,4014879703181586753291769714303/50000000000000000000,18578645307680821782425431255399/100000000000000000000,4273894127632976292970213306327/10000000000000000000,-765554216427/20000000000000000000
46609325414229513741/50000000000000000000,3188846417963172179080629169223/20000000000000000000,3496410687136357735825704842451/50000000000000000000,1331697909995643538581626228419/10000000000000000000,981303442776784693405336199977/100000000000000000000,98278665699551403485411073403/50000000000000000000,-279078974137/10000000000000000000
4719546936041106277/5000000000000000000,28400626168610468542287377839041/100000000000000000000,2058927712586743011430876423479/50000000000000000000,7093501005466459108574567755897/50000000000000000000,4605925627854327828561657507897/100000000000000000000,10519836400969965399965328102597/100000000000000000000,-64103735947/50000000000000000000
5880919339205681609/4000000000000000000,3385969006928443705612304606313/10000000000000000000,1169810690997356292660880751277/25000000000000000000,11382182937329760648138353792793/100000000000000000000,6053051775461194495228669162429/100000000000000000000,-158060509404732291470279827721/12500000000000000000,-2106187331099/25000000000000000000
402609698099241139401/100000000000000000000,11548389676645064055066024648891/50000000000000000000,15797886003190839608845176853403/100000000000000000000,9634903259071423813491312042973/100000000000000000000,5684316343327194772481021553337/50000000000000000000,57330520765983289030983598643/25000000000000000000,-1310285804911/50000000000000000000
127932895774334175829/100000000000000000000,17315354217216122569886247543/250000000000000000,27057633566127354015874363593569/100000000000000000000,1310699754075067041988088522547/25000000000000000000,444741757040229941368027645211/6250000000000000000,170027368218927723421454013/25000000000000000000,-57102916032971/50000000000000000000
56351941579523679271/10000000000000000000,27162012856356883505987671881067/100000000000000000000,707662142729667692550511151011/4000000000000000000,789582384771127692729906317853/12500000000000000000,7261563163848134089758970434241/100000000000000000000,3331202902137569039965827410157/100000000000000000000,-482300758133/3125000000000000000
67716924094607134851/100000000000000000000,19024222883491671025992977211131/100000000000000000000,606819004839859584930506211989/100000000000000000000,10650527853454608369243955113399/100000000000000000000,36885240122234736247679524901/1250000000000000000,-774659078999559475471099814639/20000000000000000000,-168520766921/100000000000000000000
374421054136212179049/100000000000000000000,145188016517303205862995040927/4000000000000000000,969789735155692990175231507889/10000000000000000000,6704241818860962138903513811643/50000000000000000000,13200032117794355889667417555821/50000000000000000000,25062403663076941892534483/100000000000000000000,-142374374547359/25000000000000000000
27679554447197200301/100000000000000000000,69340205737868076164411943212261/100000000000000000000,11092552743064229366344308425927/100000000000000000000,20125204360951799119576768215261/100000000000000000000,10337837029822497883292428527961/100000000000000000000,-1554111455174447821891102739461/12500000000000000000,-2792617502579/100000000000000000000
193756357811928829327/100000000000000000000,13892687714014359783715769503301/100000000000000000000,1523469620859588288175179704533/20000000000000000000,12428778418771026077635802468879/50000000000000000000,86729592561655568218987643243/6250000000000000000,7387015075488872051927368979/100000000000000000000,-10336940682401/10000000000000000000
1071414883396624607/1250000000000000000,2599919250230174191350987933751/12500000000000000000,1882565155113855788332443938169/20000000000000000000,9903574895500520910193095689609/100000000000000000000,20390047054939663979852493098757/100000000000000000000,2108233899367346501365417564337/100000000000000000000,-63293481637/2000000000000000000
2566257797197218273/12500000000000000000,504203961348514733136457840389/12500000000000000000,18234558549608788851127094142597/100000000000000000000,3139100091386145202770053921947/50000000000000000000,734697600275759899447382656927/4000000000000000000,182132100175807941254123241/25000000000000000000,-20466945266317/100000000000000000000
75823026128618534831/100000000000000000000,44151791373275557414214826770797/100000000000000000000,1134749153028292437299378048941/25000000000000000000,892816035283848081441051503901/12500000000000000000,10149011518247600361407780267501/100000000000000000000,-5861899146774098921974647452537/100000000000000000000,-1427853764747/100000000000000000000
239633435654046093297/50000000000000000000,3201423308031583553048025097517/12500000000000000000,3306578034903205350232881678391/50000000000000000000,16797258703207122940977777911117/100000000000000000000,24301900186218723638177673862787/100000000000000000000,245468282590784603545058068961/10000000000000000000,-870494368121/50000000000000000000
19391016326785976049/50000000000000000000,8443343714809169785781452579729/100000000000000000000,4603701093874145450187938698359/50000000000000000000,1229391009520459954567798045361/10000000000000000000,358616611741622374049635698177/2500000000000000000,5722501920866871680985970917/50000000000000000000,-18755702501771/100000000000000000000
79723649779136158719/20000000000000000000,10864428844860169543202389491301/50000000000000000000,1027600844005410763436601835649/50000000000000000000,7396560089947822831373538637903/100000000000000000000,5057759821732398044798426354369/50000000000000000000,6239787645486607143189643440313/50000000000000000000,-68455977157/800000000000000000
2117913399832331579/12500000000000000000,907439158093477206568786363277/4000000000000000000,15135353591368784520713758523139/100000000000000000000,1120454816214610321499983624017/12500000000000000000,2083399899056760455508694054013/50000000000000000000,954387835299484095396210824741/50000000000000000000,-1218355287921/50000000000000000000
70419392226232547507/20000000000000000000,5149570094371340301186897298589/12500000000000000000,1224238132232768706205474204053/10000000000000000000,12388236396108156347000777441877/50000000000000000000,3534436068536029362826728056307/100000000000000000000,284770007730948797363635100109/6250000000000000000,-7637993943551/25000000000000000000
10764250139384328657/4000000000000000000,321759059748295815177609341157/6250000000000000000,26132725578131895242298809144731/100000000000000000000,2250957198994904984167304445821/12500000000000000000,20022617644010272601105986810873/100000000000000000000,19477938199332408133881751/100000000000000000000,-1692859547439817/100000000000000000000
21629664617207382103/12500000000000000000,31795654210013030331192907640021/100000000000000000000,44816424590148228013655108471/800000000000000000,7201906986737742308872937099417/50000000000000000000,10798954136056328667590772967869/100000000000000000000,597475971973897465301007301637/5000000000000000000,-560049041413/100000000000000000000
95079943876643033297/50000000000000000000,456583562739467495922207566431/3125000000000000000,2616333385261662353796598471837/50000000000000000000,97181735766401304116459990141/10000000000000000000,11120148693092978919684574852673/100000000000000000000,276621945623277739731838423737/3125000000000000000,-201598437693/12500000000000000000
57811560247972192717/20000000000000000000,19033605611555547266582701751629/50000000000000000000,1500546103410867745107375578531/50000000000000000000,14022522663532404034822738883011/100000000000000000000,16587061396754131852916599879619/100000000000000000000,10824817703767992972857895089401/50000000000000000000,-3603849063687/25000000000000000000
61970486041632399533/20000000000000000000,6585119885626306825458865817173/50000000000000000000,682953552241497855348123452329/100000000000000000000,867575087939151698887154215881/5000000000000000000,2721202230189959222748607281781/25000000000000000000,42930891336345429841783013833/20000000000000000000,-1868189165017/100000000000000000000
181412962304170309457/100000000000000000000,48762074862657576618917200484643/100000000000000000000,352850617632067495738268629257/2500000000000000000,2613307706005983204272115307871/25000000000000000000,6690872162641706014171919788651/100000000000000000000,-1188133832538766575181313203901/100000000000000000000,-505466953269/2500000000000000000
420027459365643592681/100000000000000000000,22803130080669715490249650316117/100000000000000000000,492667065717700957748353590741/5000000000000000000,4375943883408004871843962915441/100000000000000000000,14582206621994756823939450453819/100000000000000000000,2152652849743932209096742099259/25000000000000000000,-9440281614867/100000000000000000000
312224070109652790893/100000000000000000000,29984592879579139802878300782489/100000000000000000000,15360850728094917088708034264031/100000000000000000000,222773066037428990705772744203/6250000000000000000,7753166521909977855712672285991/100000000000000000000,11278779850097232498841638956319/100000000000000000000,-62552679043/3125000000000000000
50077873845764895071/50000000000000000000,7621122948133799324303364376571/50000000000000000000,17231633905809406932704302478233/100000000000000000000,3819642521185179112413788111781/100000000000000000000,391214847246431642627365365819/3125000000000000000,85812340065540435012301517541/50000000000000000000,-408788780083/10000000000000000000
179943408625462037959/100000000000000000000,5626584162295800448193167455331/12500000000000000000,390213262570524812216061997667/12500000000000000000,353794086327273335928880704579/5000000000000000000,8191214552616718248239703235739/100000000000000000000,-3762885269656878248594443645633/100000000000000000000,-4870118897027/100000000000000000000
4308086322138973717/2000000000000000000,7605400579245496661698737355299/25000000000000000000,2187769880038448592240193556719/50000000000000000000,2695333116673795041859284419349/25000000000000000000,14168988644758398117440467623869/100000000000000000000,3097635237910366509439604213/20000000000000000,-2912250170387/20000000000000000000
43550279037438152573/10000000000000000000,10541983469956435523421157703811/25000000000000000000,30055494686772637910241347175937/100000000000000000000,16428605234816100967330128679903/100000000000000000000,15342973702250110252138406932771/100000000000000000000,397623819762422677764637363121/100000000000000000000,-63172969082481/100000000000000000000
36300820884512788513/12500000000000000000,12172936428990421626194646387537/100000000000000000000,1105423294375183684292454455491/10000000000000000000,5917295225921336137979469993261/25000000000000000000,5519225048203919171742746644091/100000000000000000000,872844447325657523020172289/50000000000000000000,-65671236516761/50000000000000000000
79450118539690858461/100000000000000000000,40039685712991708576425636351/1000000000000000000,11506542494101573019636518882349/100000000000000000000,4120258969582668662452544981587/100000000000000000000,12660736581358054771601279478391/100000000000000000000,792521601205154235299684749/100000000000000000000,-3359976249549/12500000000000000000
99823828478514699849/50000000000000000000,35633747119964178487099900256731/100000000000000000000,95783396083265567090332892011/1000000000000000000,7731574054801460632699995393657/100000000000000000000,9631228165651342369680895860967/100000000000000000000,18472567949443755117935041283933/100000000000000000000,-64468172979/2000000000000000000
9474710238461111107/2000000000000000000,681985598029129966842385906231/5000000000000000000,4033522012658104691990152987949/100000000000000000000,1465786593182903456922206968101/100000000000000000000,69003391971271066976902488991/500000000000000000,8239498718866291593352486481819/100000000000000000000,-1238474146791/100000000000000000000
174108868976855989123/100000000000000000000,38035406258966430565031957261327/100000000000000000000,399768553567872715354519575151/50000000000000000000,4093011460183622684318995573667/50000000000000000000,14210559691498480376471424925009/100000000000000000000,35364714021592015599403268557949/100000000000000000000,-717982454369/50000000000000000000
149488614593936873103/100000000000000000000,57885918820465824983776443546983/100000000000000000000,1784529873874311518273019531001/20000000000000000000,586269724353549061074990076093/25000000000000000000,5482568863059287943618265695487/50000000000000000000,-4537376669604917727194325080181/50000000000000000000,-3124633077199/100000000000000000000
73988227789015958559/50000000000000000000,1771546622131880571500464941113/4000000000000000000,3614257102182924389245209226913/25000000000000000000,15578636520264794569144696549361/100000000000000000000,2217138654116121680779443766883/20000000000000000000,14255369411120191923554795516201/100000000000000000000,-13391067550037/100000000000000000000
274034789615968535043/100000000000000000000,8202086628225864853122952432523/25000000000000000000,21404913786798036440066258893701/100000000000000000000,9789097596156098160137337869237/100000000000000000000,21572443017336154262032784855677/100000000000000000000,1174579997608578292262719953421/50000000000000000000,-3172222495387/20000000000000000000
50964659201567641809/20000000000000000000,35859774567762767825949472094027/100000000000000000000,7598193657068601665183824568753/50000000000000000000,4001252855567492163854737197777/25000000000000000000,3116136349633531409674875453793/100000000000000000000,488619995898086646082150232299/10000000000000000000,-1694089558169/50000000000000000000
122663904212864817021/100000000000000000000,3527770274858319360874828360369/100000000000000000000,26644485533581489076068130096563/100000000000000000000,644463194536099766912272206291/5000000000000000000,1969379647101742704629013080913/20000000000000000000,2793146638794164222678149/20000000000000000000,-73078591406157/100000000000000000000
137434267514940007189/100000000000000000000,26747529132446715026802775162033/100000000000000000000,5954088032806619099422204917353/50000000000000000000,1812566456091083803267696132157/12500000000000000000,859425854845965800554128341451/50000000000000000000,1539625793129339062603040448653/100000000000000000000,-509997652319/6250000000000000000
104762301302179214799/50000000000000000000,46296582623540189880616547843179/100000000000000000000,1114706408371301591601790701023/50000000000000000000,12255357672377947166887272885581/100000000000000000000,1283530162820399652369648033329/10000000000000000000,-402215537246491759855034093939/12500000000000000000,-524328055377/5000000000000000000
29796055056480959461/50000000000000000000,35615024269926345669243233920427/100000000000000000000,480386903384252724120123789009/2000000000000000000,24863038493021299664512105228097/100000000000000000000,748621950940812443862066523213/5000000000000000000,390733493015357742735313964117/100000000000000000000,-599761495077/2000000000000000000
1018137027449589831/1562500000000000000,33511890176726691418440628081063/100000000000000000000,694628117251605035275307913847/5000000000000000000,4316472560652555863395309922799/50000000000000000000,41573921863172490740568758423/100000000000000000000,-999042224463015171378406589711/50000000000000000000,-2277293094109/50000000000000000000
123856069551224752699/50000000000000000000,21056865690574839942214682201713/100000000000000000000,13025935389410021969757794681/500000000000000000,5912308925986107260815822413159/100000000000000000000,22875833424128121897186957074771/100000000000000000000,1597211984076119376351826396347/12500000000000000000,-5201459842581/100000000000000000000
131460582342205351/625000000000000000,480413068597509659305986720323/1562500000000000000,1672595390297974921544291094661/100000000000000000000,152664280982958163830812515203/10000000000000000000,1544405360056616531569919879027/25000000000000000000,-37973714575023200026806317593403/100000000000000000000,-63579964237/100000000000000000000
5506584742663606739/20000000000000000000,8969302304142598467224776683647/50000000000000000000,2895713396019694646299559607537/20000000000000000000,3576194112524036002117350461323/20000000000000000000,733006889024151626079630408899/20000000000000000000,3673652574528062376013110193/3125000000000000000,-233405735103/2000000000000000000
7433839707677073107/25000000000000000000,4141674727905173951583407516063/100000000000000000000,5882526580631949762382999531929/50000000000000000000,13172997704916705159318466199107/100000000000000000000,1319139516479613539104164259133/50000000000000000000,25684267219662180769810403/6250000000000000000,-23734944801037/50000000000000000000
35351583598232920549/10000000000000000000,14974195609796917020239986077281/50000000000000000000,477135184034109280903298496791/12500000000000000000,231116085292476898800272395681/2500000000000000000,1848477096350950204280290528661/50000000000000000000,-258792399362066997695075521527/50000000000000000000,-939349391629/6250000000000000000
30498696823019070159/10000000000000000000,10976217969686533897703959451859/25000000000000000000,2081046263011993121313182855991/12500000000000000000,562359967641017558505619818647/12500000000000000000,15912141455736626445915416443467/100000000000000000000,2318678277338529786576140778091/10000000000000000000,-8136196586941/25000000000000000000
167703797197674703521/100000000000000000000,5070513584462529620048760563819/50000000000000000000,894682684212415067072696891971/6250000000000000000,2121925501293799589207709327/156250000000000000,5086806137180686345933983905351/25000000000000000000,76300345788667480324554827731/100000000000000000000,-60244544861/20000000000000000000
239856032157550328007/100000000000000000000,16140514690739327011651650822641/50000000000000000000,11918147728846104169936266565983/50000000000000000000,1172496661187041539660250053177/20000000000000000000,10141745901796740840530902012663/50000000000000000000,848357128570868580099228158683/25000000000000000000,-9123623642101/100000000000000000000
5531231353049073701/100000000000000000000,18574835564601232488264223233599/100000000000000000000,6658300827467281376242985868417/100000000000000000000,316345767202843086907989022079/1562500000000000000,5692134236610051059863767891481/100000000000000000000,1005830440419418486062423366499/100000000000000000000,-767087454873/100000000000000000000
303116639863617486131/100000000000000000000,15911376497264033607252733357657/100000000000000000000,14285663191121657913829858364307/100000000000000000000,626413671182484273575419517947/25000000000000000000,7818093748561225262020097231521/50000000000000000000,255555052335536242717656627947/50000000000000000000,-1841096249263/100000000000000000000
12722710161942105267/25000000000000000000,29376691289785684048576087939079/100000000000000000000,69086509111476396091599721729/1250000000000000000,14326045367430199150044958284829/100000000000000000000,3546744323122460933664269972089/25000000000000000000,9937136292213929914741972766529/100000000000000000000,-995563543153/100000000000000000000
370642623959831774859/100000000000000000000,1027176968008040332023271750103/3125000000000000000,1933400325509113400505095203973/20000000000000000000,1170198958541465466954703767817/20000000000000000000,1430894984751896588012849325093/50000000000000000000,-87487543521158313493276477467/20000000000000000000,-8818869703137/100000000000000000000
77437481294121739483/50000000000000000000,15171404947131137294883007437027/100000000000000000000,803233496945050273856175936991/5000000000000000000,58051824572425571328674506947/5000000000000000000,1169434533013772518882153571853/50000000000000000000,392768996932384230643727149157/50000000000000000000,-101810988617/6250000000000000000
37521847862155363539/12500000000000000000,7417593402593614144048479169281/50000000000000000000,13081324094868219721467355199359/100000000000000000000,17675385483991108506440314180589/100000000000000000000,2860418269158192636291119473121/100000000000000000000,5942107309380078920181567521/100000000000000000000,-82706270389157/50000000000000000000
5508826063065525827/20000000000000000000,40939606055186035313655180235011/100000000000000000000,189523951241572922599725421607/6250000000000000000,1300438433561919200987042355971/20000000000000000000,7892282004295537116839022493101/100000000000000000000,-16668172899151848870922324005309/100000000000000000000,-1123386357087/100000000000000000000
49848227975112780403/20000000000000000000,11622507428641716152502263904457/50000000000000000000,696849013901733432463942657079/12500000000000000000,2708080326773365543582409155431/20000000000000000000,604842013831157302734641578699/5000000000000000000,856315155997100308019521182819/20000000000000000000,-9826737579721/100000000000000000000
308825479873093113427/100000000000000000000,204231323930278000454691410841/3125000000000000000,10100861100951286370456827565759/100000000000000000000,5528756856131865092105793230943/100000000000000000000,22090832711912937914356843358157/100000000000000000000,1581596666074857493944397409/100000000000000000000,-6506397189631/100000000000000000000
100650366580246545291/100000000000000000000,21286089499570244211590127323613/100000000000000000000,7296512605630373409029185400767/100000000000000000000,844605658330409770862787825001/25000000000000000000,3750690897693224037514136448571/25000000000000000000,10871888781859958428108101421737/100000000000000000000,-211610088039/6250000000000000000
169959214802622458101/50000000000000000000,756902154800061519994075061967/2000000000000000000,5991379241314318290852323154641/50000000000000000000,142403986812074926660372443633/1562500000000000000,12020841722518628460874924606619/50000000000000000000,16787669911480905963685446857679/100000000000000000000,-534081263333/5000000000000000000
247263274183564864013/100000000000000000000,6689769139548274909247769647113/25000000000000000000,11928525723337100856881896095171/100000000000000000000,20056577686830248149108112057163/100000000000000000000,247975229036152786036100795947/25000000000000000000,101952822399444947592556319689/50000000000000000000,-10674354700899/100000000000000000000
96797249285870617603/100000000000000000000,31357025900996953797490687943623/100000000000000000000,4631606157089192399123439178557/20000000000000000000,11740095782830960195311752031647/100000000000000000000,48557817032625330014086023723/625000000000000000,447135068103842586788855648163/50000000000000000000,-4608693324973/50000000000000000000
286346625462942180853/100000000000000000000,31366110682637290149647964067963/100000000000000000000,299493426418540680259333914567/12500000000000000000,12692307207102367395334069167417/100000000000000000000,10276610184862945086195372105671/100000000000000000000,8390398918664738225761638815329/50000000000000000000,-12731936960207/100000000000000000000
