Up to date
A,D,B0,B1,B2,Root,Y
333194857236765649123/100000000000000000000,56720393908321352126442300088033/100000000000000000000,528533264104474056410532073541/25000000000000000000,2058997028551163534789089455469/25000000000000000000,9101691864637002233897698836397/100000000000000000000,4826388271856360382133619101401/25000000000000000000,-1596783965742961815977747281130841404162451370649148499/100000000000000000000
7845477859524868113/4000000000000000000,12482594738702527255628713333311/100000000000000000000,870403834461772152769996350479/10000000000000000000,2339290966477933781777363108261/50000000000000000000,199337284142557211079671512081/4000000000000000000,3664712508719139217258673997527/20000000000000000000,103926217068972558568429675732903031741968239317737023/20000000000000000000
406465950460654566951/100000000000000000000,19176724964525110293879603003521/100000000000000000000,5234199824698539741030201753947/100000000000000000000,875539169759936518001235404253/10000000000000000000,92177800298874459140017286449/2500000000000000000,17643914171358916722933367242551/100000000000000000000,-154273895191313206300460973139990521433090702250256389/100000000000000000000
3576861399948804183/4000000000000000000,872696258607417519575854684183/2000000000000000000,12356933940995480772366609372727/100000000000000000000,295521519305347570483652669033/50000000000000000000,1565577706409443989818010521019/20000000000000000000,73753158587493805565193168629/400000000000000000,-46787437688033185932958062416147815428200422694530079/12500000000000000000
457759179237357157673/100000000000000000000,3455282123070713267462978673617/50000000000000000000,8496278986724620777465586484563/100000000000000000000,987448740953361728272937268009/50000000000000000000,6072788814836778828015798284893/100000000000000000000,8230608855770473425726431593169/50000000000000000000,88228953258406073141569858289104328774446294811856189/5000000000000000000
17952740009454757659/6250000000000000000,480873283784390852709951508159/4000000000000000000,97474843793466457269274757493/100000000000000000000,11037047736889820969663836751059/100000000000000000000,28430471943648911131900440423/20000000000000000000,6333569018664482655587103972097/100000000000000000000,-1298643857651629605725975681787086377655568303464253/20000000000000000000
170378544285250618411/100000000000000000000,4325388893435111552971836437463/20000000000000000000,1621298861261803762878459189827/20000000000000000000,1228803980581810575248050754993/25000000000000000000,88285750938447001872192955637/25000000000000000000,12323191332196253723081823958579/100000000000000000000,-12151246816713668846838013472091281738273451649956433/20000000000000000000
4537807299800778831/4000000000000000000,22286465788615409550140481589613/100000000000000000000,742312783159803029467288156791/50000000000000000000,5540478728209294502442641841319/25000000000000000000,2829013598313520727840812438241/100000000000000000000,5841520664182033738538683627113/25000000000000000000,876031051629024801995966949174435492588313638436471/4000000000000000000
3737302634502361607/100000000000000000000,49554407757562926973171667309967/100000000000000000000,2286822973242899600238805923371/25000000000000000000,2374653055346257027967426251907/25000000000000000000,5813133709163205254971948140157/100000000000000000000,1201651942717544763461279791013/5000000000000000000,-6656211657617285923286480135543359917087016212943947/1562500000000000000
73247643172306256383/50000000000000000000,925133069471120885304114795789/4000000000000000000,357755049226019565189919154569/50000000000000000000,3805957195061027859502905847429/50000000000000000000,527238386379857797557351560017/3125000000000000000,22951608347579405766987451853751/100000000000000000000,-1022841673909099026562423013620805295342709366105201/25000000000000000000
